Customer_ID,Age,Gender,Location,Device_Type,Traffic_Source,Session_Count,Return_Customer,Time_of_Day,Time_Spent_on_Site,Pages_Viewed,Product_Category,Product_Category_2,Discount_Code_Used,Payment_Method,Items_in_Cart,Added_to_Cart,Abandonment_Point,Converted,Order_Value
CUST00001,43,Male,Kuwait City,Mobile,Social Media,2,Yes,Evening,5.55,2,Home & Kitchen,None,No,Digital Wallet,,No,Product Page,No,
CUST00002,37,Male,Abu Dhabi,Mobile,Social Media,3,Yes,Evening,19.64,8,Electronics,Books,Yes,Credit/Debit Card,4.0,Yes,Cart,No,
CUST00003,45,Male,Sharjah,Desktop,Organic,3,Yes,Evening,32.91,5,Home & Kitchen,None,No,Credit/Debit Card,2.0,Yes,None,Yes,227.58
CUST00004,31,Female,Dubai,Mobile,Social Media,1,No,Afternoon,9.04,4,Sports,None,Yes,Digital Wallet,1.0,Yes,Cart,No,
CUST00005,18,Male,Riyadh,Mobile,Email,2,Yes,Afternoon,150.56548654515606,30,Sports,Electronics,No,Cash on Delivery,2.0,Yes,Cart,No,
CUST00006,28,Male,Abu Dhabi,Mobile,Paid Search,1,No,Morning,5.84,4,Books,Electronics,Yes,Credit/Debit Card,3.0,Yes,Payment Gateway,No,
CUST00007,51,Female,Mumbai,Desktop,Email,3,Yes,Evening,17.02,3,Home & Kitchen,Grocery,Yes,BNPL,3.0,Yes,Cart,No,
CUST00008,33,Male,Doha,Desktop,Organic,3,Yes,Afternoon,18.33,5,Books,Grocery,Yes,Credit/Debit Card,2.0,Yes,None,Yes,48.23
CUST00009,34,Female,Dubai,Desktop,Organic,4,Yes,Night,32.43,7,Home & Kitchen,None,No,Credit/Debit Card,,No,Product Page,No,
CUST00010,46,Female,Abu Dhabi,Mobile,Social Media,1,No,Night,11.47,3,Home & Kitchen,Toys,Yes,Digital Wallet,1.0,Yes,None,Yes,185.06
CUST00011,54,Female,Abu Dhabi,Desktop,Paid Search,2,Yes,Evening,14.72,6,Beauty,Grocery,No,Digital Wallet,,No,Product Page,No,
CUST00012,26,Male,Sharjah,Mobile,Social Media,2,Yes,Evening,19.04,4,Apparel,Beauty,Yes,Credit/Debit Card,2.0,Yes,Cart,No,
CUST00013,43,Female,Muscat,Mobile,Social Media,1,No,Afternoon,5.86,4,Electronics,None,No,Digital Wallet,,No,Product Page,No,
CUST00014,39,Female,Dubai,Mobile,Organic,4,Yes,Afternoon,15.34,3,Apparel,None,Yes,Credit/Debit Card,2.0,Yes,None,Yes,103.91
CUST00015,29,Male,Dubai,Mobile,Social Media,3,Yes,Morning,12.72,4,Beauty,None,Yes,Digital Wallet,,No,Product Page,No,
CUST00016,44,Male,Riyadh,Mobile,Paid Search,2,Yes,Night,8.58,4,Electronics,Sports,Yes,Credit/Debit Card,3.0,Yes,None,Yes,440.69
CUST00017,29,Male,Dubai,Desktop,Paid Search,1,No,Afternoon,8.02,3,Electronics,Sports,No,Digital Wallet,,No,Product Page,No,
CUST00018,40,Female,Kuwait City,Mobile,Organic,4,Yes,Night,35.78,8,Apparel,None,No,Digital Wallet,3.0,Yes,None,Yes,154.4
CUST00019,32,Female,Doha,Tablet,Paid Search,1,No,Evening,60.0,13,Electronics,None,Yes,BNPL,,No,Product Page,No,
CUST00020,39,Female,Abu Dhabi,Mobile,Direct,4,Yes,Morning,5.85,2,Beauty,None,No,Digital Wallet,,No,Product Page,No,
CUST00021,36,Female,Abu Dhabi,Mobile,Organic,4,Yes,Evening,13.6,2,Apparel,Sports,Yes,Digital Wallet,2.0,Yes,Cart,No,
CUST00022,46,Male,Kuwait City,Mobile,Email,4,Yes,Morning,24.2,9,Electronics,Sports,Yes,Digital Wallet,2.0,Yes,None,Yes,202.41
CUST00023,30,Male,Kuwait City,Mobile,Email,4,Yes,Morning,12.59,3,Beauty,None,No,BNPL,4.0,Yes,Cart,No,
CUST00024,41,Female,Abu Dhabi,Mobile,Paid Search,2,Yes,Afternoon,13.59,1,Sports,Electronics,Yes,Digital Wallet,,No,Product Page,No,
