brand_id,company_name,industry,region,gmv_tier,monthly_orders,team_size,company_size,platform,cart_abandonment_rate,checkout_pain_point,current_tool_used,current_tool_sophistication,pricing_preference,adoption_likelihood,willingness_to_pay_usd
BRAND0001,Falcon Commerce Ltd,Sports,UK,$10K-50K/mo,100-500/mo,1-5,Small,Magento,63.0,Payment Failures,No,0,Fixed Subscription,7,329.0
BRAND0002,Azure Outlet,Electronics,Egypt,$200K-1M/mo,"10,000+/mo",16-50,Medium,WooCommerce,50.1,Complex Forms,Yes,6,Fixed Subscription,3,1596.0
BRAND0003,Azure Marketplace,Fashion,UAE,<$10K/mo,<100/mo,1-5,Small,Custom Built,69.8,Payment Failures,No,0,Fixed Subscription,7,239.0
BRAND0004,Falcon Direct,Beauty,UAE,$50K-200K/mo,100-500/mo,1-5,Small,Shopify,63.1,Payment Failures,No,0,Fixed Subscription,6,705.0
BRAND0005,Nile Collective,Home & Kitchen,Saudi Arabia,$10K-50K/mo,100-500/mo,1-5,Small,WooCommerce,61.6,Mobile UX,No,0,Revenue Share,7,412.0
BRAND0006,Nova Outlet,Fashion,Egypt,<$10K/mo,<100/mo,1-5,Small,WooCommerce,51.9,Trust Issues,Yes,7,Fixed Subscription,3,190.0
BRAND0007,Metro Commerce Ltd,Beauty,UK,$10K-50K/mo,100-500/mo,1-5,Small,BigCommerce,58.3,Mobile UX,No,0,Revenue Share,6,367.0
BRAND0008,Oasis Outlet,Fashion,UAE,$50K-200K/mo,"2,000-10,000/mo",16-50,Medium,WooCommerce,55.3,Shipping Costs,No,0,Fixed Subscription,7,996.0
BRAND0009,Nile & Sons,Fashion,India,$50K-200K/mo,"500-2,000/mo",16-50,Medium,WooCommerce,47.4,Shipping Costs,Yes,10,Fixed Subscription,3,657.0
BRAND0010,Metro Retail Group,Beauty,Saudi Arabia,$200K-1M/mo,"2,000-10,000/mo",51-200,Large,Shopify,53.3,Payment Failures,No,0,Fixed Subscription,6,1389.0
BRAND0011,Oasis & Sons,Beauty,UK,$50K-200K/mo,"2,000-10,000/mo",6-15,Small,BigCommerce,70.8,Payment Failures,No,0,Fixed Subscription,8,825.0
BRAND0012,Desert Marketplace,Beauty,Egypt,$200K-1M/mo,"500-2,000/mo",6-15,Small,WooCommerce,69.2,Mobile UX,No,0,Fixed Subscription,6,832.0
BRAND0013,Urban Direct,Home & Kitchen,Egypt,$10K-50K/mo,100-500/mo,1-5,Small,Shopify,53.2,Mobile UX,No,0,Fixed Subscription,6,418.0
BRAND0014,Coastal Bazaar,Toys,Saudi Arabia,<$10K/mo,<100/mo,1-5,Small,Magento,61.6,Complex Forms,No,0,Fixed Subscription,7,289.0
BRAND0015,Urban Direct,Beauty,Saudi Arabia,$200K-1M/mo,"10,000+/mo",16-50,Medium,Shopify,73.6,Complex Forms,No,0,Revenue Share,7,1064.0
BRAND0016,Palm E-Store,Electronics,UAE,$10K-50K/mo,<100/mo,1-5,Small,Shopify,48.2,Trust Issues,Yes,5,Revenue Share,4,347.0
BRAND0017,Summit Collective,Sports,UAE,$10K-50K/mo,100-500/mo,1-5,Small,BigCommerce,63.3,Mobile UX,No,0,Revenue Share,6,368.0
BRAND0018,Gulf Bazaar,Electronics,Egypt,$1M-5M/mo,"10,000+/mo",51-200,Large,WooCommerce,66.2,Complex Forms,No,0,Revenue Share,7,1641.0
BRAND0019,Nile Marketplace,Grocery,Egypt,$10K-50K/mo,100-500/mo,1-5,Small,Magento,73.3,Complex Forms,No,0,Fixed Subscription,8,572.0
BRAND0020,Nile Collective,Fashion,UK,$10K-50K/mo,"500-2,000/mo",1-5,Small,Shopify,65.0,Mobile UX,No,0,Fixed Subscription,8,752.0
BRAND0021,Metro Bazaar,Fashion,UK,$50K-200K/mo,100-500/mo,6-15,Small,BigCommerce,60.7,Payment Failures,No,0,Fixed Subscription,8,729.0
BRAND0022,Falcon Retail Group,Toys,India,$50K-200K/mo,100-500/mo,6-15,Small,Shopify,76.9,Payment Failures,No,0,Fixed Subscription,7,897.0
BRAND0023,Gulf Bazaar,Sports,Egypt,$10K-50K/mo,<100/mo,1-5,Small,Shopify,80.9,Shipping Costs,No,0,Fixed Subscription,9,479.0
BRAND0024,Summit Retail Group,Home & Kitchen,UK,$200K-1M/mo,"500-2,000/mo",16-50,Medium,Custom Built,71.8,Mobile UX,No,0,Fixed Subscription,9,1410.0
BRAND0025,Bloom Bazaar,Grocery,Egypt,$10K-50K/mo,100-500/mo,1-5,Small,BigCommerce,67.7,Payment Failures,No,0,Fixed Subscription,7,431.0
BRAND0026,Bloom Marketplace,Fashion,UAE,$200K-1M/mo,"2,000-10,000/mo",6-15,Small,WooCommerce,39.2,Trust Issues,Yes,9,Fixed Subscription,4,1140.0
BRAND0027,Desert Commerce Ltd,Fashion,Saudi Arabia,$1M-5M/mo,"2,000-10,000/mo",200+,Large,Shopify,39.0,Trust Issues,Yes,7,Revenue Share,5,1348.0
BRAND0028,Summit Collective,Electronics,UAE,$50K-200K/mo,100-500/mo,16-50,Medium,BigCommerce,68.2,Trust Issues,No,0,Revenue Share,8,793.0
BRAND0029,Summit Outlet,Beauty,UK,$50K-200K/mo,100-500/mo,16-50,Medium,WooCommerce,47.5,Shipping Costs,Yes,9,Fixed Subscription,3,822.0
BRAND0030,Silk E-Store,Home & Kitchen,India,$10K-50K/mo,100-500/mo,6-15,Small,Magento,67.9,Trust Issues,Yes,4,Revenue Share,7,546.0
